	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	mean_r_chromaticity	max_r_chromaticity	min_r_chromaticity	mean_ct_chromaticity	max_ct_chromaticity	min_ct_chromaticity	mean_nct_chromaticity	max_nct_chromaticity	min_nct_chromaticity	mean_pcs_chromaticity	max_pcs_chromaticity	min_pcs_chromaticity	mean_ct_diatonicity	max_ct_diatonicity	min_ct_diatonicity	mean_nct_diatonicity	max_nct_diatonicity	min_nct_diatonicity	mean_pcs_diatonicity	max_pcs_diatonicity	min_pcs_diatonicity	root_fifths_range	ct_fifths_range	nct_fifths_range	scaled_r_chromaticity	scaled_ct_chromaticity	scaled_nct_chromaticity	corpus_id	piece_id
60	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	1635.0	1635.0	C	I	8	-2	8	-3	8	-2	0.14423076923076922	3	0	1.5	3	0	1.5	3	0	1.5	3	0	0.0	0	0	0.0	0	0	1.0	2	0	10	11	10	0.06571461083295402	0.0988538681948424	0.041666666666666664	5	61
61	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635.0	d	i	5	-4	6	-7	6	-3	0.16666666666666666	3	0	2.2	5	0	2.0	4	0	2.5	5	0	0.0	0	0	0.5	1	0	1.0	2	0	9	13	9	0.07593688362919132	0.14498567335243553	0.05555555555555555	5	62
62	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	1635.0	1635.0	d	i	6	-4	6	-11	6	-4	0.35655737704918034	4	0	3.75	8	0	2.5	5	0	3.0	6	0	2.0	4	0	1.0	2	0	1.0	2	0	10	17	10	0.1624551362886798	0.247134670487106	0.06944444444444445	5	63
63	frescobaldi_fiori_musicali	12.30_Alto_recercar	1635.0	1635.0	g	i	6	-4	6	-4	6	-4	0.18789808917197454	4	0	2.2	5	0	3.2857142857142856	7	0	3.625	8	0	0.0	0	0	1.0	2	0	1.0	2	0	10	10	10	0.08561037198959787	0.14498567335243553	0.09126984126984126	5	64
64	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635.0	C	I	8	-4	14	-4	8	-4	0.3127962085308057	3	0	3.5	10	0	2.0	4	0	2.6666666666666665	6	0	1.0	2	0	0.0	0	0	0.0	0	0	12	18	12	0.14251661572113633	0.2306590257879656	0.05555555555555555	5	65
65	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	1635.0	1635.0	d	i	2	-4	6	-4	5	-4	0.0	0	0	2.2	5	0	1.75	4	0	3.142857142857143	7	0	1.0	2	0	0.5	1	0	1.0	2	0	6	10	9	0.0	0.14498567335243553	0.04861111111111111	5	66
66	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	1635.0	1635.0	d	i	5	-4	5	-4	5	-4	0.11904761904761904	3	0	1.5	3	0	1.3333333333333333	3	0	1.5	3	0	0.0	0	0	0.0	0	0	1.0	2	0	9	9	9	0.054240631163708086	0.0988538681948424	0.037037037037037035	5	67
67	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	1635.0	1635.0	d	i	3	-3	5	-4	3	-4	0.043478260869565216	1	0	1.5	3	0	0.5	1	0	1.5	3	0	0.0	0	0	0.0	0	0	0.0	0	0	6	9	7	0.01980962181631078	0.0988538681948424	0.013888888888888888	5	68
68	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	1635.0	1635.0	d	i	5	-4	6	-4	3	-4	0.06557377049180328	3	0	2.2	5	0	0.5	1	0	2.0	4	0	1.0	2	0	0.0	0	0	0.0	0	0	9	10	7	0.029876806673780194	0.14498567335243553	0.013888888888888888	5	69
69	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	1635.0	1635.0	d	i	5	-4	5	-4	5	-4	0.275	3	0	1.5	3	0	1.5	3	0	1.5	3	0	0.0	0	0	0.0	0	0	0.0	0	0	9	9	9	0.1252958579881657	0.0988538681948424	0.041666666666666664	5	70
70	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	1635.0	1635.0	d	i	3	-4	6	-4	5	-4	0.029411764705882353	1	0	2.2	5	0	1.6666666666666667	4	0	2.0	4	0	0.0	0	0	0.0	0	0	1.0	2	0	7	10	9	0.013400626522798468	0.14498567335243553	0.0462962962962963	5	71
71	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	1635.0	1635.0	d	i	6	-4	6	-4	6	-4	0.16981132075471697	4	0	2.2	5	0	1.6666666666666667	4	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	10	10	10	0.07736965501842134	0.14498567335243553	0.0462962962962963	5	72
72	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	1635.0	1635.0	g	i	5	-4	6	-4	5	-4	0.031746031746031744	3	0	2.5	5	0	1.5	3	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	10	9	0.014464168310322156	0.16475644699140402	0.041666666666666664	5	73
73	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	1635.0	1635.0	g	i	4	-4	7	-4	4	-4	0.02564102564102564	2	0	3.0	7	0	1.3333333333333333	3	0	3.2857142857142856	8	0	0.0	0	0	0.0	0	0	1.0	2	0	8	11	8	0.011682597481414049	0.1977077363896848	0.037037037037037035	5	74
74	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	1635.0	1635.0	a	i	1	-5	5	-5	5	-5	0.02631578947368421	1	0	1.5	3	0	1.5	3	0	2.0	4	0	1.0	2	0	1.3333333333333333	3	0	1.6666666666666667	3	0	6	10	10	0.011990034257240734	0.0988538681948424	0.041666666666666664	5	75
75	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	1635.0	1635.0	a	i	5	-4	5	-4	5	-4	0.11442786069651742	3	0	1.5	3	0	2.0	4	0	2.0	4	0	0.0	0	0	1.0	2	0	1.0	2	0	9	9	9	0.05213577084989255	0.0988538681948424	0.05555555555555555	5	76
