	corpus	piece	corpus_year	piece_year	period	period_Johannes	globalkey	localkey	chord_num	total_WLD	piece_avg_WLD	corpus_id	piece_id
1104	grieg_lyric_pieces	op47n03	1890.3354624738975	1888	Late Romantic	Extended tonality	a	i	92	1284.0	13.956521739130435	31	1092
1105	grieg_lyric_pieces	op47n04	1890.3354624738975	1888	Late Romantic	Extended tonality	D	I	21	216.0	10.285714285714286	31	1093
1106	grieg_lyric_pieces	op47n05	1890.3354624738975	1888	Late Romantic	Extended tonality	g	i	108	1421.0	13.157407407407407	31	1094
1107	grieg_lyric_pieces	op47n06	1890.3354624738975	1888	Late Romantic	Extended tonality	G	I	83	1026.0	12.36144578313253	31	1095
1108	grieg_lyric_pieces	op47n07	1890.3354624738975	1888	Late Romantic	Extended tonality	b	i	134	1924.0	14.35820895522388	31	1096
1109	grieg_lyric_pieces	op54n01	1890.3354624738975	1891	Late Romantic	Extended tonality	g	i	107	1205.0	11.261682242990654	31	1097
1110	grieg_lyric_pieces	op54n02	1890.3354624738975	1891	Late Romantic	Extended tonality	C	I	286	3790.0	13.251748251748252	31	1098
1111	grieg_lyric_pieces	op54n03	1890.3354624738975	1891	Late Romantic	Extended tonality	d	i	267	3630.0	13.595505617977528	31	1099
1112	grieg_lyric_pieces	op54n04	1890.3354624738975	1891	Late Romantic	Extended tonality	C	I	91	1506.0	16.54945054945055	31	1100
1113	grieg_lyric_pieces	op54n05	1890.3354624738975	1891	Late Romantic	Extended tonality	e	i	116	1274.0	10.982758620689655	31	1101
1114	grieg_lyric_pieces	op54n06	1890.3354624738975	1891	Late Romantic	Extended tonality	C	I	171	3170.0	18.538011695906434	31	1102
1115	grieg_lyric_pieces	op57n01	1890.3354624738975	1893	Late Romantic	Extended tonality	d	i	311	4256.0	13.684887459807074	31	1103
1116	grieg_lyric_pieces	op57n02	1890.3354624738975	1893	Late Romantic	Extended tonality	A	I	180	2472.0	13.733333333333333	31	1104
1117	grieg_lyric_pieces	op57n03	1890.3354624738975	1893	Late Romantic	Extended tonality	a	i	186	2528.0	13.591397849462366	31	1105
