	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey	ILC	OLC	ILD
179	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	v	0.3	0.0	0.11110952380952382
180	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	i	1.1875	0.0	0.06160714285714286
181	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	v	0.5454545454545454	0.0	0.12380952380952381
182	monteverdi_madrigals	5-05b	2	18	1609.1691322587767	1605	Renaissance	g	i	0.9230769230769231	0.0	0.05
183	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	i	0.0	0.5	0.021052631578947368
184	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.10384615384615385
185	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	i	1.2	0.0	0.05263157894736842
186	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	v	1.1111111111111112	0.1111111111111111	0.18095
187	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.125	0.2
188	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	I	0.1111111111111111	0.0	0.08181818181818182
189	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	v	1.6666666666666667	0.0	0.021428571428571432
190	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	III	0.3	0.1	0.22000000000000003
191	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	IV	0.1111111111111111	0.0	0.13846153846153847
192	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	i	2.0	0.0	0.03157894736842106
193	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	I	0.07692307692307693	0.07692307692307693	0.14772727272727273
194	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	V	0.23333333333333334	0.0	0.29555333333333333
195	monteverdi_madrigals	5-05c	2	19	1609.1691322587767	1605	Renaissance	g	ii	1.2	0.0	0.155
