	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id	WLC_percentage	OLC_percentage
257	corelli	op03n03b	1687.6864702945581	1689	Baroque	Baroque	Bb	major	6	-8	6	-1	0.1694915254237288	0.01694915254237288	14	7	6	191	0.9090909090909091	0.09090909090909091
258	corelli	op03n03c	1687.6864702945581	1689	Baroque	Baroque	Bb	major	6	-8	5	-1	0.12295081967213115	0.0	14	6	6	192	1.0	0.0
260	corelli	op03n03d	1687.6864702945581	1689	Baroque	Baroque	Bb	major	6	-4	5	-1	0.03804347826086957	0.0	10	6	6	193	1.0	0.0
263	corelli	op03n04a	1687.6864702945581	1689	Baroque	Baroque	b	major	8	-1	5	-1	0.0851063829787234	0.0	9	6	6	194	1.0	0.0
266	corelli	op03n04c	1687.6864702945581	1689	Baroque	Baroque	b	major	8	-4	6	0	0.25	0.022727272727272728	12	6	6	196	0.9166666666666667	0.08333333333333334
269	corelli	op03n05a	1687.6864702945581	1689	Baroque	Baroque	d	major	5	-1	5	-1	0.0	0.0	6	6	6	198	0.0	0.0
271	corelli	op03n05b	1687.6864702945581	1689	Baroque	Baroque	d	major	5	-1	3	0	0.0	0.0	6	3	6	199	0.0	0.0
273	corelli	op03n05c	1687.6864702945581	1689	Baroque	Baroque	d	major	5	-1	4	-1	0.0	0.0	6	5	6	200	0.0	0.0
275	corelli	op03n05d	1687.6864702945581	1689	Baroque	Baroque	d	major	8	-1	5	-1	0.11538461538461539	0.0	9	6	6	201	1.0	0.0
276	corelli	op03n06a	1687.6864702945581	1689	Baroque	Baroque	G	major	8	-2	5	-2	0.07142857142857142	0.02040816326530612	10	7	6	202	0.7777777777777778	0.22222222222222224
279	corelli	op03n06c	1687.6864702945581	1689	Baroque	Baroque	G	major	6	-3	5	-1	0.0661764705882353	0.0	9	6	6	204	1.0	0.0
281	corelli	op03n06d	1687.6864702945581	1689	Baroque	Baroque	G	major	8	-1	6	-1	0.15083798882681565	0.00558659217877095	9	7	6	205	0.9642857142857143	0.03571428571428571
284	corelli	op03n07b	1687.6864702945581	1689	Baroque	Baroque	e	major	5	-1	5	-1	0.0	0.0	6	6	6	207	0.0	0.0
286	corelli	op03n07c	1687.6864702945581	1689	Baroque	Baroque	e	major	5	-1	4	0	0.0	0.0	6	4	6	208	0.0	0.0
288	corelli	op03n07d	1687.6864702945581	1689	Baroque	Baroque	e	major	6	-2	4	-1	0.11764705882352941	0.0	8	5	6	209	1.0	0.0
289	corelli	op03n08a	1687.6864702945581	1689	Baroque	Baroque	C	major	6	-3	5	-1	0.043478260869565216	0.0	9	6	6	210	1.0	0.0
291	corelli	op03n08b	1687.6864702945581	1689	Baroque	Baroque	C	major	9	-1	6	-1	0.2549019607843137	0.013071895424836602	10	7	6	211	0.9512195121951219	0.04878048780487805
293	corelli	op03n08c	1687.6864702945581	1689	Baroque	Baroque	a	major	8	-1	4	-1	0.32	0.0	9	5	6	212	1.0	0.0
294	corelli	op03n08d	1687.6864702945581	1689	Baroque	Baroque	C	major	8	-1	6	-2	0.052083333333333336	0.03125	9	8	6	213	0.625	0.37499999999999994
298	corelli	op03n09b	1687.6864702945581	1689	Baroque	Baroque	f	major	8	-1	6	-1	0.25925925925925924	0.037037037037037035	9	7	6	215	0.875	0.125
300	corelli	op03n09c	1687.6864702945581	1689	Baroque	Baroque	f	major	7	-1	5	0	0.14285714285714285	0.0	8	5	6	216	1.0	0.0
304	corelli	op03n10b	1687.6864702945581	1689	Baroque	Baroque	a	major	7	-4	5	-1	0.32	0.0	11	6	6	219	1.0	0.0
308	corelli	op03n11a	1687.6864702945581	1689	Baroque	Baroque	g	major	6	-3	6	0	0.3	0.1	9	6	6	222	0.7499999999999999	0.25
310	corelli	op03n11b	1687.6864702945581	1689	Baroque	Baroque	g	major	5	-3	5	-1	0.06382978723404255	0.0	8	6	6	223	1.0	0.0
312	corelli	op03n11c	1687.6864702945581	1689	Baroque	Baroque	g	major	6	-1	0	0	0.14285714285714285	0.0	7	0	6	224	1.0	0.0
314	corelli	op03n11d	1687.6864702945581	1689	Baroque	Baroque	g	major	5	-3	5	0	0.15384615384615385	0.0	8	5	6	225	1.0	0.0
315	corelli	op03n12a	1687.6864702945581	1689	Baroque	Baroque	A	major	6	-3	5	0	0.25	0.0	9	5	6	226	1.0	0.0
316	corelli	op03n12b	1687.6864702945581	1689	Baroque	Baroque	E	major	5	-1	5	-1	0.0	0.0	6	6	6	227	0.0	0.0
317	corelli	op03n12c	1687.6864702945581	1689	Baroque	Baroque	E	major	6	-3	5	0	0.13157894736842105	0.0	9	5	6	228	1.0	0.0
318	corelli	op03n12d	1687.6864702945581	1689	Baroque	Baroque	A	major	5	-1	5	-1	0.0	0.0	6	6	6	229	0.0	0.0
319	corelli	op03n12e	1687.6864702945581	1689	Baroque	Baroque	A	major	6	-3	5	-2	0.06578947368421052	0.013157894736842105	9	7	6	230	0.8333333333333334	0.16666666666666666
320	corelli	op03n12f	1687.6864702945581	1689	Baroque	Baroque	A	major	6	-3	5	-2	0.03296703296703297	0.005494505494505495	9	7	6	231	0.8571428571428571	0.14285714285714285
322	corelli	op03n12g	1687.6864702945581	1689	Baroque	Baroque	A	major	8	-1	5	-1	0.05128205128205128	0.0	9	6	6	232	1.0	0.0
324	corelli	op04n01a	1687.6864702945581	1694	Baroque	Baroque	C	major	8	-1	5	-1	0.10909090909090909	0.0	9	6	6	233	1.0	0.0
326	corelli	op04n01b	1687.6864702945581	1694	Baroque	Baroque	C	major	6	-1	6	-2	0.047619047619047616	0.047619047619047616	7	8	6	234	0.5	0.5
329	corelli	op04n01d	1687.6864702945581	1694	Baroque	Baroque	C	major	7	-3	5	-2	0.125	0.008333333333333333	10	7	6	236	0.9375	0.0625
332	corelli	op04n02a	1687.6864702945581	1694	Baroque	Baroque	g	major	5	-1	5	0	0.0	0.0	6	5	6	237	0.0	0.0
334	corelli	op04n02b	1687.6864702945581	1694	Baroque	Baroque	g	major	5	-1	0	0	0.0	0.0	6	0	6	238	0.0	0.0
337	corelli	op04n02d	1687.6864702945581	1694	Baroque	Baroque	g	major	9	-1	0	-1	0.3181818181818182	0.0	10	1	6	240	1.0	0.0
