	corpus	piece	corpus_year	piece_year	globalkey	localkey_mode	max_wl	min_wl	max_ol	min_ol	WLC	OLC	wl_fifths_range	ol_fifths_range	corpus_id	piece_id
118	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	1637.9308224442736	1636	a	minor	5	-7	2	-4	0.8842975206611571	0.0	12	6	5	119
119	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	1637.9308224442736	1636	d	minor	6	-4	3	-3	0.8562874251497006	0.041916167664670656	10	6	5	120
120	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	1637.9308224442736	1636	g	minor	6	-7	4	-4	0.6941176470588235	0.047058823529411764	13	8	5	121
121	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	1637.9308224442736	1636	e	minor	5	-5	3	-1	0.3972602739726027	0.0136986301369863	10	4	5	122
122	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	1637.9308224442736	1636	g	minor	6	-4	3	-3	0.37362637362637363	0.17582417582417584	10	6	5	123
123	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	1637.9308224442736	1636	g	minor	6	-7	3	-4	0.7272727272727273	0.07878787878787878	13	7	5	124
124	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	1637.9308224442736	1636	F	major	8	-5	6	-1	0.33695652173913043	0.010869565217391304	13	7	5	125
125	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	1637.9308224442736	1636	d	minor	6	-4	5	-4	0.900355871886121	0.07473309608540925	10	9	5	126
126	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	1637.9308224442736	1636	G	major	9	-3	7	-3	0.5813953488372093	0.06976744186046512	12	10	5	127
127	kleine_geistliche_konzerte	op08n24swv305_Ich_hab_mein_Sach_Gott_heimgestellt	1637.9308224442736	1636	g	minor	5	-4	6	-4	0.6352530541012217	0.20418848167539266	9	10	5	128
128	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	1637.9308224442736	1639	F	major	9	-2	5	-1	0.42201834862385323	0.0	11	6	5	129
129	kleine_geistliche_konzerte	op09n02swv307_Was_hast_du_verwirket	1637.9308224442736	1639	d	minor	6	-5	6	-3	1.1141304347826086	0.08695652173913043	11	9	5	130
130	kleine_geistliche_konzerte	op09n03swv308_O_Jesu,_nomen_dulce	1637.9308224442736	1639	g	minor	6	-4	5	-3	0.7248322147651006	0.0738255033557047	10	8	5	131
131	kleine_geistliche_konzerte	op09n04swv309_O_misericordissime_Jesu	1637.9308224442736	1639	g	minor	7	-5	5	-5	1.0718232044198894	0.12154696132596685	12	10	5	132
132	kleine_geistliche_konzerte	op09n05swv310_Ich_liege_und_schlafe	1637.9308224442736	1639	a	minor	5	-5	3	-4	0.441340782122905	0.00558659217877095	10	7	5	133
133	kleine_geistliche_konzerte	op09n06swv311_Habe_deine_Lust_an_dem_Herren	1637.9308224442736	1639	a	minor	5	-5	5	-4	0.4444444444444444	0.04843304843304843	10	9	5	134
134	kleine_geistliche_konzerte	op09n07swv312_Herr,_ich_hoffe_darauf	1637.9308224442736	1639	d	minor	6	-4	6	-4	0.7544910179640718	0.24550898203592814	10	10	5	135
135	kleine_geistliche_konzerte	op09n08swv313_Bone_Jesu,_verbum_Patris	1637.9308224442736	1639	a	minor	6	-4	4	-4	0.5074626865671642	0.05970149253731343	10	8	5	136
136	kleine_geistliche_konzerte	op09n09swv314_Verbum_caro_factum	1637.9308224442736	1639	g	minor	6	-4	4	-3	0.7692307692307693	0.03461538461538462	10	7	5	137
137	kleine_geistliche_konzerte	op09n10swv315_Hodie_Christus_natus_est	1637.9308224442736	1639	d	minor	6	-4	6	-3	0.9253112033195021	0.11203319502074689	10	9	5	138
138	kleine_geistliche_konzerte	op09n11swv316_Wann_unsre_Augen_schlafen_ein	1637.9308224442736	1639	g	minor	7	-4	3	-5	0.8117647058823529	0.047058823529411764	11	8	5	139
139	kleine_geistliche_konzerte	op09n12swv317_Meister,_wir_haben_die_ganze_Nacht_gearbeitet	1637.9308224442736	1639	d	minor	6	-6	4	-3	0.8953488372093024	0.046511627906976744	12	7	5	140
140	kleine_geistliche_konzerte	op09n13swv318_Die_Furcht_des_Herren	1637.9308224442736	1639	g	minor	6	-4	3	-3	0.5847457627118644	0.01694915254237288	10	6	5	141
141	kleine_geistliche_konzerte	op09n14swv319_Ich_beuge_meine_Knie_gegen_dem_Vater	1637.9308224442736	1639	G	major	7	-3	5	-2	0.30697674418604654	0.04186046511627907	10	7	5	142
142	kleine_geistliche_konzerte	op09n15swv320_Ich_bin_jung_gewesen_und_bin_alt_worden	1637.9308224442736	1639	F	major	8	-2	5	-2	0.38666666666666666	0.013333333333333334	10	7	5	143
143	kleine_geistliche_konzerte	op09n16swv321_Herr,_wenn_ich_nur_dich	1637.9308224442736	1639	d	minor	5	-5	4	-4	0.36363636363636365	0.0213903743315508	10	8	5	144
144	kleine_geistliche_konzerte	op09n17swv322_Rorate,_rorate_coeli	1637.9308224442736	1639	g	minor	6	-4	5	-4	0.9421052631578948	0.09473684210526316	10	9	5	145
145	kleine_geistliche_konzerte	op09n18swv323_Joseph,_du_Sohn_David	1637.9308224442736	1639	a	minor	6	-4	3	-6	0.6294117647058823	0.03529411764705882	10	9	5	146
146	kleine_geistliche_konzerte	op09n19swv324_Ich_bin_die_Auferstehung	1637.9308224442736	1639	d	minor	6	-6	5	-4	0.7350427350427351	0.17094017094017094	12	9	5	147
147	kleine_geistliche_konzerte	op09n20swv325_Die_Seele_Christi_heilige_mich	1637.9308224442736	1639	g	minor	7	-4	3	-5	0.9585253456221198	0.041474654377880185	11	8	5	148
148	kleine_geistliche_konzerte	op09n21swv326_Ich_ruf_zu_dir,_Herr_Jesu_Christ	1637.9308224442736	1639	g	minor	6	-4	5	-1	0.5333333333333333	0.06666666666666667	10	6	5	149
149	kleine_geistliche_konzerte	op09n22swv327_Allein_Gott_in_der_Höh	1637.9308224442736	1639	G	major	7	-2	7	-2	0.15056818181818182	0.03977272727272727	9	9	5	150
150	kleine_geistliche_konzerte	op09n23swv328_Veni,_Sancte_Spiritus	1637.9308224442736	1639	G	major	8	-3	7	-4	0.4092664092664093	0.15057915057915058	11	11	5	151
151	kleine_geistliche_konzerte	op09n24swv329_Ist_Gott_für_uns	1637.9308224442736	1639	g	minor	7	-4	5	-5	0.78125	0.15104166666666666	11	10	5	152
152	kleine_geistliche_konzerte	op09n25swv330_Wer_will_uns_scheiden_von_der_Liebe_Gottes	1637.9308224442736	1639	g	minor	6	-4	6	-3	0.9719101123595506	0.056179775280898875	10	9	5	153
153	kleine_geistliche_konzerte	op09n26swv331_Die_Stimm_des_Herren_gehet_auf_den_Wassern	1637.9308224442736	1639	d	minor	6	-4	6	-4	0.9915611814345991	0.11392405063291139	10	10	5	154
154	kleine_geistliche_konzerte	op09n27swv332_Jubilate_Deo_omnis_terra	1637.9308224442736	1639	F	major	8	-3	8	-1	0.34472934472934474	0.019943019943019943	11	9	5	155
155	kleine_geistliche_konzerte	op09n28swv333_Sei_gegrüßet,_Maria	1637.9308224442736	1639	G	major	8	-3	6	-4	0.4973404255319149	0.0425531914893617	11	10	5	156
156	kleine_geistliche_konzerte	op09n29swv334_Ave_Maria,_qualis_est	1637.9308224442736	1639	G	major	8	-3	6	-4	0.4920212765957447	0.0398936170212766	11	10	5	157
