	corpus	piece	localkey_mode	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild
141	kleine_geistliche_konzerte	op09n14swv319_Ich_beuge_meine_Knie_gegen_dem_Vater	major	5	37	1637.9308224442736	1639	Renaissance	G	0.009406886072091426	0.3523999914612307
142	kleine_geistliche_konzerte	op09n15swv320_Ich_bin_jung_gewesen_und_bin_alt_worden	major	5	38	1637.9308224442736	1639	Renaissance	F	0.09439676545478082	0.22596788742522003
143	kleine_geistliche_konzerte	op09n16swv321_Herr,_wenn_ich_nur_dich	minor	5	39	1637.9308224442736	1639	Renaissance	d	0.2923102123249131	0.17674837436056123
144	kleine_geistliche_konzerte	op09n17swv322_Rorate,_rorate_coeli	minor	5	40	1637.9308224442736	1639	Renaissance	g	-0.02726968432486118	0.013356660548247313
145	kleine_geistliche_konzerte	op09n18swv323_Joseph,_du_Sohn_David	minor	5	41	1637.9308224442736	1639	Renaissance	a	0.3392403589545775	0.12197333606405114
146	kleine_geistliche_konzerte	op09n19swv324_Ich_bin_die_Auferstehung	minor	5	42	1637.9308224442736	1639	Renaissance	d	0.00964889015812198	0.20290937902435763
147	kleine_geistliche_konzerte	op09n20swv325_Die_Seele_Christi_heilige_mich	minor	5	43	1637.9308224442736	1639	Renaissance	g	0.327006100030068	0.07075572963013133
148	kleine_geistliche_konzerte	op09n21swv326_Ich_ruf_zu_dir,_Herr_Jesu_Christ	minor	5	44	1637.9308224442736	1639	Renaissance	g	0.23691311216677877	0.1996299383595567
149	kleine_geistliche_konzerte	op09n22swv327_Allein_Gott_in_der_Höh	major	5	45	1637.9308224442736	1639	Renaissance	G	-0.04669919286811367	0.1501016686396621
150	kleine_geistliche_konzerte	op09n23swv328_Veni,_Sancte_Spiritus	major	5	46	1637.9308224442736	1639	Renaissance	G	0.1010986459645358	0.2924530811231173
151	kleine_geistliche_konzerte	op09n24swv329_Ist_Gott_für_uns	minor	5	47	1637.9308224442736	1639	Renaissance	g	0.009939833225416538	0.14843020759163725
152	kleine_geistliche_konzerte	op09n25swv330_Wer_will_uns_scheiden_von_der_Liebe_Gottes	minor	5	48	1637.9308224442736	1639	Renaissance	g	0.09200416334664394	0.03133794564255379
153	kleine_geistliche_konzerte	op09n26swv331_Die_Stimm_des_Herren_gehet_auf_den_Wassern	minor	5	49	1637.9308224442736	1639	Renaissance	d	0.18260697434538947	0.18648592279663564
154	kleine_geistliche_konzerte	op09n27swv332_Jubilate_Deo_omnis_terra	major	5	50	1637.9308224442736	1639	Renaissance	F	-0.03499279795133968	0.2492363056088493
155	kleine_geistliche_konzerte	op09n28swv333_Sei_gegrüßet,_Maria	major	5	51	1637.9308224442736	1639	Renaissance	G	0.05472602874825446	0.12762823794464906
156	kleine_geistliche_konzerte	op09n29swv334_Ave_Maria,_qualis_est	major	5	52	1637.9308224442736	1639	Renaissance	G	0.0668642825974914	0.14929134832722338
157	kleine_geistliche_konzerte	op09n30swv335_Was_betrübst_du_dich,_meine_Seele	minor	5	53	1637.9308224442736	1639	Renaissance	g	-0.03901879539832299	0.2434633999850467
158	kleine_geistliche_konzerte	op09n31swv336_Quemadmodum_desiderat_cervus	minor	5	54	1637.9308224442736	1639	Renaissance	g	-0.008766817630530038	0.10786627609376234
159	kleine_geistliche_konzerte	op09n32swv337_Aufer_immensam	minor	5	55	1637.9308224442736	1639	Renaissance	a	0.27145091792258813	0.2106260311562333
160	corelli	op01n01a	major	6	1	1687.6864702945581	1681	Baroque	F	-0.06391374907061421	0.40788773947270546
161	corelli	op01n01a	minor	6	1	1687.6864702945581	1681	Baroque	F	0.0	-0.040175612200167375
162	corelli	op01n01b	major	6	2	1687.6864702945581	1681	Baroque	F	-0.01659879646490092	0.165179570584457
163	corelli	op01n01b	minor	6	2	1687.6864702945581	1681	Baroque	F	0.0	-0.11694185421347958
164	corelli	op01n01c	major	6	3	1687.6864702945581	1681	Baroque	F	0.0	0.08714795029764238
165	corelli	op01n01c	minor	6	3	1687.6864702945581	1681	Baroque	F	-0.07938348467344604	0.09278448081456649
166	corelli	op01n01d	major	6	4	1687.6864702945581	1681	Baroque	F	0.3028273587263434	0.30389013121469843
167	corelli	op01n01d	minor	6	4	1687.6864702945581	1681	Baroque	F	-0.14379392104440059	0.30115583216671055
168	corelli	op01n02a	major	6	5	1687.6864702945581	1681	Baroque	e	0.0	0.6614378277661477
169	corelli	op01n02a	minor	6	5	1687.6864702945581	1681	Baroque	e	-0.14732120818584524	0.22889005752902744
170	corelli	op01n02b	major	6	6	1687.6864702945581	1681	Baroque	e	0.0	0.0
171	corelli	op01n02b	minor	6	6	1687.6864702945581	1681	Baroque	e	0.07832372129435665	0.3639641255802555
172	corelli	op01n02c	major	6	7	1687.6864702945581	1681	Baroque	e	0.0	0.0
173	corelli	op01n02c	minor	6	7	1687.6864702945581	1681	Baroque	e	0.0	0.2556680965582187
174	corelli	op01n02d	major	6	8	1687.6864702945581	1681	Baroque	e	0.0	0.5932363331849738
