2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no05b_Non_tanto_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no05c_Siciliana')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no05d_Presto')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no06a_Adagio')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no06b_Allegretto')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no06c_Grave')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op01no06d_Minuet_con_Variazioni')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no01a_Non_tanto_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no01b_Presto')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no01c_Andantino_e_staccato')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no01d_Minuetto')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no02a_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no02b_Adagio')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no02c_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no02d_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no03a_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no03b_Andantino')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no03c_Allegro_assai')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no04a_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no04b_Adagio')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no04c_Allegro_assai')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no05a_Adagio')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no05b_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no05c_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no06a_Non_tanto_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no06b_Larghetto')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no06c_Polonoise')
2023-11-27 16:27:05,774 - WARNING - ('platti_sonatas', 'platti_op04no06d_Allegro')
2023-11-27 16:27:05,774 - WARNING - ('rachmaninoff_piano', 'op42_18')
