	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period_Johannes	period_Fabian	globalkey	localkey_mode	WLC	OLC	WLD
106	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	5	80	1637.9308224442736	1636	pre-Baroque	Renaissance	C	major	0.24431818181818182	0.0	0.4979093181818181
107	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	5	81	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.8607594936708861	0.08016877637130802	0.5076473417721519
108	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	5	82	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.844559585492228	0.046632124352331605	0.5077969430051813
109	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	5	83	1637.9308224442736	1636	pre-Baroque	Renaissance	G	major	0.34532374100719426	0.04316546762589928	0.48590151079136684
110	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	5	84	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.8140703517587939	0.21105527638190955	0.5043126633165829
111	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	5	85	1637.9308224442736	1636	pre-Baroque	Renaissance	D	major	0.3724137931034483	0.05517241379310345	0.4936604827586207
112	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	5	86	1637.9308224442736	1636	pre-Baroque	Renaissance	e	minor	0.4375	0.015625	0.5608579687499999
113	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	5	87	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.7768595041322314	0.11570247933884298	0.5017689256198347
114	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	5	88	1637.9308224442736	1636	pre-Baroque	Renaissance	G	major	0.3557692307692308	0.038461538461538464	0.4895896153846154
115	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	5	89	1637.9308224442736	1636	pre-Baroque	Renaissance	G	major	0.3333333333333333	0.05185185185185185	0.4752493333333333
116	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	5	90	1637.9308224442736	1636	pre-Baroque	Renaissance	G	major	0.291970802919708	0.051094890510948905	0.5258398540145985
117	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	5	91	1637.9308224442736	1636	pre-Baroque	Renaissance	F	major	0.2	0.012121212121212121	0.5108317575757576
118	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	5	92	1637.9308224442736	1636	pre-Baroque	Renaissance	a	minor	0.8842975206611571	0.0	0.4979589256198347
119	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	5	93	1637.9308224442736	1636	pre-Baroque	Renaissance	d	minor	0.8562874251497006	0.041916167664670656	0.48354095808383235
120	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	5	94	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.6941176470588235	0.047058823529411764	0.5886267058823529
121	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	5	95	1637.9308224442736	1636	pre-Baroque	Renaissance	e	minor	0.3972602739726027	0.0136986301369863	0.5188630136986301
122	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	5	96	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.37362637362637363	0.17582417582417584	0.47
123	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	5	97	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.7272727272727273	0.07878787878787878	0.5295468484848485
124	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	5	98	1637.9308224442736	1636	pre-Baroque	Renaissance	F	major	0.33695652173913043	0.010869565217391304	0.5847922463768116
125	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	5	99	1637.9308224442736	1636	pre-Baroque	Renaissance	d	minor	0.900355871886121	0.07473309608540925	0.5224167615658363
126	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	5	100	1637.9308224442736	1636	pre-Baroque	Renaissance	G	major	0.5813953488372093	0.06976744186046512	0.5416611046511627
127	kleine_geistliche_konzerte	op08n24swv305_Ich_hab_mein_Sach_Gott_heimgestellt	5	101	1637.9308224442736	1636	pre-Baroque	Renaissance	g	minor	0.6352530541012217	0.20418848167539266	0.5153371029668412
128	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	5	102	1637.9308224442736	1639	pre-Baroque	Renaissance	F	major	0.42201834862385323	0.0	0.48999995412844033
129	kleine_geistliche_konzerte	op09n02swv307_Was_hast_du_verwirket	5	103	1637.9308224442736	1639	pre-Baroque	Renaissance	d	minor	1.1141304347826086	0.08695652173913043	0.5487491304347826
130	kleine_geistliche_konzerte	op09n03swv308_O_Jesu,_nomen_dulce	5	104	1637.9308224442736	1639	pre-Baroque	Renaissance	g	minor	0.7248322147651006	0.0738255033557047	0.5377193288590604
131	kleine_geistliche_konzerte	op09n04swv309_O_misericordissime_Jesu	5	105	1637.9308224442736	1639	pre-Baroque	Renaissance	g	minor	1.0718232044198894	0.12154696132596685	0.4991470718232044
132	kleine_geistliche_konzerte	op09n05swv310_Ich_liege_und_schlafe	5	106	1637.9308224442736	1639	pre-Baroque	Renaissance	a	minor	0.441340782122905	0.00558659217877095	0.49746988826815636
133	kleine_geistliche_konzerte	op09n06swv311_Habe_deine_Lust_an_dem_Herren	5	107	1637.9308224442736	1639	pre-Baroque	Renaissance	a	minor	0.4444444444444444	0.04843304843304843	0.5589913960113959
134	kleine_geistliche_konzerte	op09n07swv312_Herr,_ich_hoffe_darauf	5	108	1637.9308224442736	1639	pre-Baroque	Renaissance	d	minor	0.7544910179640718	0.24550898203592814	0.5410207185628743
135	kleine_geistliche_konzerte	op09n08swv313_Bone_Jesu,_verbum_Patris	5	109	1637.9308224442736	1639	pre-Baroque	Renaissance	a	minor	0.5074626865671642	0.05970149253731343	0.5171357462686567
136	kleine_geistliche_konzerte	op09n09swv314_Verbum_caro_factum	5	110	1637.9308224442736	1639	pre-Baroque	Renaissance	g	minor	0.7692307692307693	0.03461538461538462	0.5288162307692308
