	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
67	67	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	1635.0	1635	d	i	3.0	-3.0	5	-4	3	-4	[0]	[[2, 2]]	0.0	0.0434782608695652	[-3, 1]	0.3260869565217391	[]	0.2391304347826087	6.0	9	7	4	68	minor
68	68	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	1635.0	1635	d	i	5.0	-4.0	6	-4	3	-4	[1]	[[3, 3], [3, 3]]	1.0	0.0655737704918032	[-2, 2]	0.6229508196721312	[]	0.0655737704918032	9.0	10	7	4	69	minor
69	69	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	1635.0	1635	d	i	5.0	-4.0	5	-4	4	-3	[1]	[[3, 3], [3, 3]]	1.0	0.275	[-2, 2]	0.325	[]	0.2	9.0	9	7	4	70	minor
70	70	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	1635.0	1635	d	i	3.0	-4.0	6	-4	5	-3	[-1, 0, 1, -3]	[[2, 2], [-1, -1], [1, 1], [3, 3]]	0.0	0.0294117647058823	[-3, 1]	0.4411764705882353	[-1]	0.2352941176470588	7.0	10	8	4	71	minor
71	71	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	1635.0	1635	d	i	6.0	-4.0	6	-4	3	-3	[1]	[[3, 3], [3, 3]]	1.0	0.1698113207547169	[-2, 2]	0.490566037735849	[]	0.0188679245283018	10.0	10	6	4	72	minor
72	72	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	1635.0	1635	g	i	5.0	-4.0	6	-4	4	-3	[0, 1, 2, -3]	[[2, 2], [2, 2], [2, 2], [-2, -2], [3, 3], [1, 1], [-2, -2], [3, 3], [1, 1]]	0.0	0.0317460317460317	[-3, 1]	1.0714285714285714	[2]	0.246031746031746	9.0	10	7	4	73	minor
73	73	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	1635.0	1635	g	i	4.0	-4.0	7	-4	3	-4	[0]	[[1, 1]]	0.0	0.0256410256410256	[-3, 1]	0.8205128205128205	[]	0.0897435897435897	8.0	11	7	4	74	minor
74	74	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	1635.0	1635	a	i	1.0	-5.0	5	-5	5	-4	[-3, -1, 0, 1, 2, 5]	[[3, 3], [3, 3], [4, 4], [0, 0], [2, 2], [4, 4], [5, 5], [0, 0], [8, 8], [3, 3, 0, 0, 4, 4], [4, 4]]	0.0	0.0263157894736842	[-3, 1]	0.9736842105263158	[-1, 2, 5]	0.3157894736842105	6.0	10	9	4	75	minor
75	75	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	1635.0	1635	a	i	5.0	-4.0	5	-4	3	-4	[0]	[[3, 3]]	0.0	0.1144278606965174	[-3, 1]	0.263681592039801	[]	0.0248756218905472	9.0	9	7	4	76	minor
78	78	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	1637.9308224442736	1636	d	i	4.0	-4.0	6	-4	5	-4	[0, 5]	[[2], [2], [2], [2], [2], [2], [7], [2], [2], [2], [2], [2], [2], [2], [7], [2], [2]]	0.0	0.0238095238095238	[-3, 1]	0.9642857142857144	[5]	0.1785714285714285	8.0	10	9	5	79	minor
