	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
67	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	1635.0	1635	d	i	3.0	-3.0	5	-4	3	-4	[0]	[[2, 2]]	0.0	0.043478260869565216	[-3, 1]	0.32608695652173914	[]	0.2391304347826087	6.0	9	7	4	68
68	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	1635.0	1635	d	i	5.0	-4.0	6	-4	3	-4	[1]	[[3, 3], [3, 3]]	1.0	0.06557377049180328	[-2, 2]	0.6229508196721312	[]	0.06557377049180328	9.0	10	7	4	69
69	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	1635.0	1635	d	i	5.0	-4.0	5	-4	4	-3	[1]	[[3, 3], [3, 3]]	1.0	0.275	[-2, 2]	0.325	[]	0.2	9.0	9	7	4	70
70	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	1635.0	1635	d	i	3.0	-4.0	6	-4	5	-3	[-1, 0, 1, -3]	[[2, 2], [-1, -1], [1, 1], [3, 3]]	0.0	0.029411764705882353	[-3, 1]	0.4411764705882353	[-1]	0.23529411764705882	7.0	10	8	4	71
71	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	1635.0	1635	d	i	6.0	-4.0	6	-4	3	-3	[1]	[[3, 3], [3, 3]]	1.0	0.16981132075471697	[-2, 2]	0.49056603773584906	[]	0.018867924528301886	10.0	10	6	4	72
72	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	1635.0	1635	g	i	5.0	-4.0	6	-4	4	-3	[0, 1, 2, -3]	[[2, 2], [2, 2], [2, 2], [-2, -2], [3, 3], [1, 1], [-2, -2], [3, 3], [1, 1]]	0.0	0.031746031746031744	[-3, 1]	1.0714285714285714	[2]	0.24603174603174602	9.0	10	7	4	73
73	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	1635.0	1635	g	i	4.0	-4.0	7	-4	3	-4	[0]	[[1, 1]]	0.0	0.02564102564102564	[-3, 1]	0.8205128205128205	[]	0.08974358974358974	8.0	11	7	4	74
74	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	1635.0	1635	a	i	1.0	-5.0	5	-5	5	-4	[-3, -1, 0, 1, 2, 5]	[[3, 3], [3, 3], [4, 4], [0, 0], [2, 2], [4, 4], [5, 5], [0, 0], [8, 8], [3, 3, 0, 0, 4, 4], [4, 4]]	0.0	0.02631578947368421	[-3, 1]	0.9736842105263158	[-1, 2, 5]	0.3157894736842105	6.0	10	9	4	75
75	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	1635.0	1635	a	i	5.0	-4.0	5	-4	3	-4	[0]	[[3, 3]]	0.0	0.11442786069651742	[-3, 1]	0.263681592039801	[]	0.024875621890547265	9.0	9	7	4	76
76	frescobaldi_fiori_musicali	12.46_Bergamasca	1635.0	1635	G	I	7.0	-4.0	7	-4	6	-2	[1]	[[2, 2], [2, 2]]	1.0	0.08737864077669903	[5, 2]	0.24514563106796117	[]	0.11165048543689321	11.0	11	8	4	77
77	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	1635.0	1635	G	I	8.0	-2.0	7	-3	6	-2	[0, 3, 5, -2]	[[4, 4], [6, 6], [1, 1], [4, 4], [1, 1], [-1, -1], [4, 4]]	3.0	0.07795698924731183	[0, 4]	0.1532258064516129	[5, -2]	0.12634408602150538	10.0	10	8	4	78
78	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	1637.9308224442736	1636	d	i	4.0	-4.0	6	-4	5	-4	[0, 5]	[[2], [2], [2], [2], [2], [2], [7], [2], [2], [2], [2], [2], [2], [2], [7], [2], [2]]	0.0	0.023809523809523808	[-3, 1]	0.9642857142857143	[5]	0.17857142857142858	8.0	10	9	5	79
79	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	1637.9308224442736	1636	C	I	6.0	-2.0	8	-2	5	-1	[0, 1, 2, 4, -1]	[[0], [4], [0], [2], [4], [0], [4], [1], [4], [-1], [0], [1], [4], [0], [2]]	0.0	0.028409090909090908	[4, 1]	0.2159090909090909	[2, -1]	0.0	8.0	10	6	5	80
80	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	1637.9308224442736	1636	g	i	3.0	-11.0	7	-10	5	-4	[0]	[[1]]	0.0	0.21940928270042195	[-3, 1]	1.1139240506329113	[]	0.08016877637130802	14.0	17	9	5	81
81	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	1637.9308224442736	1636	g	i	5.0	-11.0	7	-10	5	-4	[-3]	[[-2], [-2]]	-3.0	0.3316062176165803	[1, -2]	1.1761658031088082	[]	0.07253886010362694	16.0	17	9	5	82
82	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	1637.9308224442736	1636	G	I	5.0	-2.0	7	-2	5	-2	[0, 1, 4]	[[1, 2], [1, 5]]	0.0	0.03597122302158273	[4, 1]	0.30935251798561153	[]	0.04316546762589928	7.0	9	7	5	83
83	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	1637.9308224442736	1636	g	i	5.0	-11.0	7	-10	6	-5	[0, 2, -3]	[[1, 1], [1], [1], [3], [-2]]	0.0	0.4120603015075377	[-3, 1]	1.0804020100502512	[2]	0.18592964824120603	16.0	17	11	5	84
84	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	1637.9308224442736	1636	D	I	4.0	-3.0	7	-2	6	-2	[0, 1]	[[2, 3]]	0.0	0.0896551724137931	[4, 1]	0.2827586206896552	[]	0.05517241379310345	7.0	9	8	5	85
85	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	1637.9308224442736	1636	e	i	5.0	-4.0	6	-5	3	-4	[-3, -2, 0]	[[4, 4], [4], [1], [2]]	0.0	0.109375	[-3, 1]	0.375	[-2]	0.015625	9.0	11	7	5	86
